file,n,passed,pass^1,pass^2,pass^3,avg_duration,avg_cost,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens,avg_turns,avg_knl_toolcalls,avg_otoolcalls
00_gpt-4o_baseline.json,200,100,0.5,0.4156,0.3712,46.02,0.082528,52613.2,1245.4,53858.6,6.2,0.0,6.71
01_gpt-4o_test_nopolicy.json,40,5,0.125,0.1,0.0,72.04,0.062922,37779.9,1127.3,38907.3,5.92,0.0,7.45
02_sonnet46_no_wiki.json,80,60,0.75,0.6667,0.625,71.99,0.0,80448.2,1973.2,82421.5,6.72,0.0,8.04
1_gpt-4o_test_wiki_t1.json,40,19,0.475,0.3,0.0,124.23,0.126487,81519.7,1304.2,82823.9,6.08,2.08,7.38
20_gpt-4o_test_wiki_t4.json,40,22,0.55,0.5,0.0,139.47,0.13989,91578.3,1217.5,92795.8,6.05,1.75,6.45
21_gpt-4o_test_wiki_t4_nopolicy.json,40,21,0.525,0.35,0.0,163.55,0.153162,85873.3,1262.1,87135.4,5.97,2.35,6.42
30_gpt-4o_test_wiki_t4_flips.json,80,40,0.5,0.3917,0.3375,81.28,0.142474,91117.9,1291.5,92409.4,6.04,2.09,6.97
31_gpt-4o_test_wiki_t4_flips_nopolicy.json,40,22,0.55,0.45,0.0,118.47,0.122111,77214.9,1278.3,78493.2,5.78,2.65,6.42
32_gpt-4o_train_wiki_t4.json,60,29,0.4833,0.4667,0.0,119.04,0.136143,88145.8,1147.3,89293.1,5.72,1.8,6.57
33_gpt-4o_train_t4_flips_nopolicy.json,60,34,0.5667,0.5,0.0,87.46,0.117278,72521.9,1174.7,73696.6,5.32,2.48,6.32
34_gpt-4o_t4_outcome_oracle.json,80,42,0.525,0.4333,0.3875,70.24,0.168177,112086.9,1455.7,113542.6,7.19,2.01,6.85
350_gpt-4o_t4_outcome_oracle_no_policy.json,80,50,0.625,0.5083,0.45,39.99,0.122545,81324.2,1362.5,82686.8,6.19,2.86,6.9
351_gpt-4o_t4_outcome_oracle_no_policy.json,80,37,0.4625,0.35,0.2875,40.59,0.093572,59336.9,1328.4,60665.2,6.25,0.3,7.06
352_gpt-4o_t4_outcome_oracle_no_policy.json,80,43,0.5375,0.4583,0.4,42.74,0.143867,81041.7,1302.8,82344.6,6.05,2.75,6.91
353_gpt-4o_t4_outcome_oracle_no_policy.json,80,45,0.5625,0.4667,0.4,59.78,0.130218,82202.3,1326.2,83528.4,6.05,2.83,6.9
36_gpt-4o_t4_outcome_oracle_trimmed.json.json,80,42,0.525,0.3667,0.2625,46.1,0.12046,79696.5,1329.7,81026.2,6.08,2.1,7.19
371_gpt-4o_t4_policy_and_wiki_outcome_oracle_trimmed_all_in_sys_prompt.json,80,43,0.5375,0.4167,0.3625,47.22,0.121908,80282.8,1485.2,81768.0,6.56,0.0,7.33
37_gpt-4o_t4_policy_and_wiki_outcome_oracle_trimmed_all_in_sys_prompt.json,79,43,0.5458,0.425,0.3625,71.2,0.11363,75065.2,1336.0,76401.1,6.13,0.0,6.85
381_gpt-4o_t4_wiki_outcome_oracle_trimmed_all_in_sys_prompt.json,80,37,0.4625,0.2917,0.225,58.87,0.103985,66983.3,1331.9,68315.2,6.4,0.0,7.7
391_gpt-4o_t4_wiki_outcome_oracle_all_in_sys_prompt.json,80,42,0.525,0.3417,0.2375,69.09,0.244788,174406.0,1436.4,175842.4,6.09,0.0,7.69
45_sonnet46_t4_outcome_oracle_no_policy.json,80,58,0.725,0.6333,0.575,72.82,0.0,96773.9,2235.9,99009.8,5.59,3.09,8.12
5011_gpt-4o_t4_wiki_no_outcome2_append_sys_prompt.json.json,200,108,0.54,0.4433,0.4033,62.95,0.103458,68109.1,1321.8,69430.9,6.26,0.0,6.45
501_gpt-4o_t4_wiki_no_outcome2_merged_sys_prompt.json,200,110,0.55,0.4456,0.3854,55.2,0.105149,73108.5,1353.5,74461.9,6.33,0.0,6.31
502_gpt-4o_t4_wiki_no_outcome2_knl_tools.json,200,103,0.515,0.3811,0.3117,46.47,0.131661,85714.8,1288.5,87003.3,6.1,2.56,6.54
~502_gpt-4o_t4_wiki_no_outcome2_knl_tools.json,80,35,0.4375,0.3333,0.2625,71.62,0.148134,105277.6,1532.1,106809.7,7.5,2.2,6.72
